model,condition,domain,pred_len,mse_mean,mse_std,n_seeds
mmtsflib,C2_empty,Health,48,1.956212904718187,0.20281997529537948,9
mmtsflib,C2_empty,Security,6,117.14362335205078,10.012936935707334,9
mmtsflib,C2_empty,Security,8,120.40718502468533,9.101107776169583,9
mmtsflib,C2_empty,Security,10,121.92961968315973,9.415045605147256,9
mmtsflib,C2_empty,Security,12,122.89076911078558,9.024081531204317,9
mmtsflib,C2_empty,SocialGood,6,1.0549625621901617,0.2653722786407774,9
mmtsflib,C2_empty,SocialGood,8,1.176402873463101,0.39155654112843546,9
mmtsflib,C2_empty,SocialGood,10,1.2059312793943617,0.31142397092479435,9
mmtsflib,C2_empty,SocialGood,12,1.2215537163946364,0.30825975281245166,9
mmtsflib,C2_empty,Traffic,6,0.343068723877271,0.18329671711489734,9
mmtsflib,C2_empty,Traffic,8,0.35934462481074864,0.2556683885009991,9
mmtsflib,C2_empty,Traffic,10,0.38791706164677936,0.25193449546712143,9
mmtsflib,C2_empty,Traffic,12,0.3919832292530272,0.1693418023736283,9
mmtsflib,C3_shuffled,Agriculture,6,0.15196343552735117,0.11584949163355616,9
mmtsflib,C3_shuffled,Agriculture,8,0.20065915087858835,0.1362663843402422,9
mmtsflib,C3_shuffled,Agriculture,10,0.26285316712326473,0.1972914573427099,9
