model,backbone,condition,seed,domain,pred_len,mse,mae,wall_s
mmtsflib,DLinear,C10_empty_keep_priors,2023,SocialGood,8,1.130974531173706,0.6963988542556763,22.556327791011427
mmtsflib,DLinear,C10_empty_keep_priors,2023,SocialGood,10,1.0937433242797852,0.5519221425056458,18.79147815000033
mmtsflib,DLinear,C10_empty_keep_priors,2023,SocialGood,12,1.2216328382492065,0.6576598882675171,19.37564421200659
mmtsflib,DLinear,C10_empty_keep_priors,2023,Traffic,6,0.3040448725223541,0.4212197959423065,14.715116515988484
mmtsflib,DLinear,C10_empty_keep_priors,2023,Traffic,8,0.3125460147857666,0.39845800399780273,23.434322718996555
mmtsflib,DLinear,C10_empty_keep_priors,2023,Traffic,10,0.29132354259490967,0.4283999800682068,18.706150193000212
mmtsflib,DLinear,C10_empty_keep_priors,2023,Traffic,12,0.3451385796070099,0.4406207799911499,16.177691099001095
mmtsflib,DLinear,C11_constant_keep_priors,2021,Agriculture,6,0.08250439167022705,0.21786920726299286,23.195019343984313
mmtsflib,DLinear,C11_constant_keep_priors,2021,Agriculture,8,0.24092091619968414,0.3814961910247803,28.040895254991483
mmtsflib,DLinear,C11_constant_keep_priors,2021,Agriculture,10,0.15059183537960052,0.2637345492839813,30.282019711041357
mmtsflib,DLinear,C11_constant_keep_priors,2021,Agriculture,12,0.17937694489955902,0.29436615109443665,28.098955522000324
mmtsflib,DLinear,C11_constant_keep_priors,2021,Climate,6,1.209875226020813,0.9007163047790527,34.11993073002668
mmtsflib,DLinear,C11_constant_keep_priors,2021,Climate,8,1.2697253227233887,0.9049438238143921,23.58378670096863
mmtsflib,DLinear,C11_constant_keep_priors,2021,Climate,10,1.203428030014038,0.8942649960517883,25.001854995964095
mmtsflib,DLinear,C11_constant_keep_priors,2021,Climate,12,1.2066298723220825,0.8916427493095398,40.01805953000439
mmtsflib,DLinear,C11_constant_keep_priors,2021,Economy,6,0.049268756061792374,0.18393361568450928,18.658822693978436
mmtsflib,DLinear,C11_constant_keep_priors,2021,Economy,8,0.14517851173877716,0.32831186056137085,22.98959992598975
mmtsflib,DLinear,C11_constant_keep_priors,2021,Economy,10,0.05140141770243645,0.17907316982746124,26.331278543977533
mmtsflib,DLinear,C11_constant_keep_priors,2021,Economy,12,0.053204264491796494,0.1858559250831604,23.2433546219836
mmtsflib,DLinear,C11_constant_keep_priors,2021,Energy,12,0.22149275243282318,0.3499717712402344,54.773032016004436
mmtsflib,DLinear,C11_constant_keep_priors,2021,Energy,24,0.3560791015625,0.453143447637558,29.477283757005353
mmtsflib,DLinear,C11_constant_keep_priors,2021,Energy,36,0.38288941979408264,0.4576929807662964,59.05498825403629
mmtsflib,DLinear,C11_constant_keep_priors,2021,Energy,48,0.5007306337356567,0.5307888984680176,55.92918813601136
mmtsflib,DLinear,C11_constant_keep_priors,2021,Environment,48,0.46475109457969666,0.5291683673858643,227.45460045401705
mmtsflib,DLinear,C11_constant_keep_priors,2021,Environment,96,0.542921781539917,0.5980836749076843,254.3922321999562
mmtsflib,DLinear,C11_constant_keep_priors,2021,Environment,192,0.6046414971351624,0.6623654365539551,115.5347833110136
mmtsflib,DLinear,C11_constant_keep_priors,2021,Environment,336,0.5473700165748596,0.6106549501419067,93.32778532599332
mmtsflib,DLinear,C11_constant_keep_priors,2021,Health,12,1.6131505966186523,0.8226185441017151,51.70491308695637
mmtsflib,DLinear,C11_constant_keep_priors,2021,Health,24,1.6932525634765625,0.8719480633735657,51.70364318101201
mmtsflib,DLinear,C11_constant_keep_priors,2021,Health,36,1.6870635747909546,0.8647324442863464,49.87847613997292
mmtsflib,DLinear,C11_constant_keep_priors,2021,Health,48,1.7728326320648193,0.9214608073234558,51.83056401304202
mmtsflib,DLinear,C11_constant_keep_priors,2021,Security,6,104.3557357788086,5.036671161651611,41.36469864001265
mmtsflib,DLinear,C11_constant_keep_priors,2021,Security,8,109.20813751220703,5.254592418670654,37.738943210977595
mmtsflib,DLinear,C11_constant_keep_priors,2021,Security,10,111.39872741699219,5.391339302062988,39.30963305500336
mmtsflib,DLinear,C11_constant_keep_priors,2021,Security,12,113.073974609375,5.445963382720947,36.76492510200478
mmtsflib,DLinear,C11_constant_keep_priors,2021,SocialGood,6,0.9934824705123901,0.581521213054657,31.441516541002784
mmtsflib,DLinear,C11_constant_keep_priors,2021,SocialGood,8,1.032045602798462,0.5008116960525513,31.675691963988356
mmtsflib,DLinear,C11_constant_keep_priors,2021,SocialGood,10,1.0518337488174438,0.5519183278083801,46.555166618025396
mmtsflib,DLinear,C11_constant_keep_priors,2021,SocialGood,12,1.201831579208374,0.6373568177223206,25.894210312049836
mmtsflib,DLinear,C11_constant_keep_priors,2021,Traffic,6,0.28497081995010376,0.39484935998916626,37.60880566696869
mmtsflib,DLinear,C11_constant_keep_priors,2021,Traffic,8,0.36005377769470215,0.4919303357601166,29.693026461987756
mmtsflib,DLinear,C11_constant_keep_priors,2021,Traffic,10,0.26541322469711304,0.40064430236816406,35.81605581694748
mmtsflib,DLinear,C11_constant_keep_priors,2021,Traffic,12,0.2976089417934418,0.40809449553489685,40.63083092001034
mmtsflib,DLinear,C11_constant_keep_priors,2022,Agriculture,6,0.11629027873277664,0.2685411274433136,35.754626621026546
mmtsflib,DLinear,C11_constant_keep_priors,2022,Agriculture,8,0.09564505517482758,0.21658846735954285,22.546768986969255
mmtsflib,DLinear,C11_constant_keep_priors,2022,Agriculture,10,0.19485321640968323,0.3128446936607361,31.165659179969225
mmtsflib,DLinear,C11_constant_keep_priors,2022,Agriculture,12,0.1704457402229309,0.29295244812965393,22.773480539035518
mmtsflib,DLinear,C11_constant_keep_priors,2022,Climate,6,1.251183032989502,0.9119316935539246,33.09945056994911
